PFI,LOCALITY,GAZLOC,VICNAMESID,PFI_CR,UFI,UFI_CR,UFI_OLD,NAMESAKE,BROAD_CATEGORY1,LANGUAGE,DETAILS
205410206,ASPENDALE GARDENS,ASPENDALE GARDENS,100205,27/09/2005,468967029,24/10/2013,300945723,Animal,Nature,English,Named after horse of early European settler james Crooke
205409229,ATHLONE,ATHLONE,100206,27/09/05,468967283,24/10/13,304237222,Unknown,Unknown,Unknown,
205410086,ATTWOOD,ATTWOOD,100207,27/09/2005,468966425,24/10/2013,300942767,Public figure,Person,English,"Named after James Attwood, a farmer in the area"
205410060,AVONDALE HEIGHTS,AVONDALE HEIGHTS,100215,27/09/2005,468966592,24/10/2013,300942934,Local estate,Local estate,English,"Named after local estate, 'Heights' added to distinguish it from Avondale in Queensland"
205409963,AVONSLEIGH,AVONSLEIGH,100217,27/09/05,468966899,24/10/13,300943001,Other local places,Other local places,English,Named after guest house. Originally called East Emerald
205409806,BADGER CREEK,BADGER CREEK,100225,27/09/05,468966442,24/10/13,300943178,Animal,Nature,English,"Named after the wombats in the area, which were called badgers by early European settlers"
205410372,BALACLAVA,BALACLAVA,100233,27/09/2005,468966837,24/10/2013,300942434,Historic event or item,Historic event or item,Turkish,Named after Battle of Balaclava from Crimean War
205407665,BALLIANG,BALLIANG,100245,27/09/05,500898059,21/08/15,498758646,Aboriginal person,Person,Indigenous,"Named for Balliang House, named for local Aboriginal leader Balliang (or Ballyang)"
205408802,BALLIANG EAST,BALLIANG EAST,100246,27/09/05,498758647,01/07/15,468966646,Aboriginal person,Person,Indigenous,"Named for Balliang House, named for local Aboriginal leader Balliang (or Ballyang)"
205409301,BALNARRING,BALNARRING,100250,27/09/2005,468967414,24/10/2013,300943737,Terrain,Nature,Indigenous,Named applied by local indigenous people in Boonwurrung
205410328,BALNARRING BEACH,BALNARRING BEACH,100251,27/09/2005,508000347,12/02/2016,468967487,Terrain,Nature,Indigenous,Named applied by local indigenous people in Boonwurrung
205410069,BALWYN,BALWYN,100254,27/09/2005,482420450,5/06/2014,468966705,Local estate,Local estate,"English, Scottish","Named after local estate, name made up from Scottish 'Bal' and English 'Wyn' (home of the vine)"
205409895,BALWYN NORTH,BALWYN NORTH,100255,27/09/2005,498525019,25/06/2015,468966651,Local estate,Local estate,"English, Scottish","Named after local estate, name made up from Scottish 'Bal' and English 'Wyn' (home of the vine)"
205409391,BANGHOLME,BANGHOLME,100263,27/09/2005,468967040,24/10/2013,300941965,Terrain,Nature,Indigenous,Name of local waterhole
205407584,BAW BAW,,#N/A,,,,,Terrain,Nature,Indigenous,"Possibly from local word meaning ""echo"" or ""big"""
205409860,BAXTER,BAXTER,100304,27/09/2005,468967235,24/10/2013,300943057,Early European settler,Person,Irish,Named after Benjamin Baxter
205409387,BAYLES,,,,,,,Military figure,Person,English,"Named for Frederick Bayles, the first member of the Victorian Railways Construction Branch killed in the First World War. Previously called Yallock Village Settlement."
205409951,BAYSWATER,BAYSWATER,100309,27/09/2005,502352917,25/09/2015,501772644,Place in the UK,Place outside Australia,English,"Named after J J Miller's estate, named for his birthplace in England"
205410002,BAYSWATER NORTH,BAYSWATER NORTH,100310,27/09/2005,502352916,25/09/2015,501772643,Place in the UK,Place outside Australia,English,"Named after J J Miller's estate, named for his birthplace in England"
205409906,BEACONSFIELD,BEACONSFIELD,100311,27/09/2005,509050055,4/03/2016,496500470,British politician,Person,English,Named after British Prime Minister Benjamin Disraeli (Lord Beaconsfield)
205409240,BEACONSFIELD UPPER,BEACONSFIELD UPPER,100313,27/09/2005,468966983,24/10/2013,300943686,British politician,Person,English,Named after British Prime Minister Benjamin Disraeli (Lord Beaconsfield)
205410078,BEAUMARIS,BEAUMARIS,100321,27/09/2005,526796379,24/02/2017,505158617,Place in the UK,Place outside Australia,Welsh,"Named after Beaumaris, Wales"
205409623,BEENAK,,,,,,,Unknown,Unknown,Indigenous,
205410137,BELGRAVE,BELGRAVE,100327,27/09/2005,468966900,24/10/2013,300942830,Place in the UK,Place outside Australia,English,"Named after chapel in Leeds, England"
205410268,BELGRAVE HEIGHTS,BELGRAVE HEIGHTS,100328,27/09/2005,468966927,24/10/2013,300942546,Place in the UK,Place outside Australia,English,"Named after chapel in Leeds, England"
205409749,BELGRAVE SOUTH,BELGRAVE SOUTH,100329,27/09/2005,468966930,24/10/2013,300943110,Place in the UK,Place outside Australia,English,"Named after chapel in Leeds, England"
205410364,BELLFIELD (GREATER MELBOURNE),BELLFIELD,100339,27/09/2005,468966588,24/10/2013,300942427,Early European settler,Person,Irish,Named after Francis Bell
205410016,BEND OF ISLANDS,,,,,,,Terrain,Nature,English,Named for group of small islands in the Yarra River nearby
205410100,BENTLEIGH,BENTLEIGH,100354,27/09/2005,532885848,2/06/2017,468966920,Local politician or judge,Person,English,Named after Thomas Bent
205409899,BENTLEIGH EAST,BENTLEIGH EAST,100355,27/09/2005,532885847,2/06/2017,468966914,Local politician or judge,Person,English,Named after Thomas Bent
205409098,BERWICK,BERWICK,100365,27/09/2005,509050054,4/03/2016,500606624,Place in the UK,Place outside Australia,English,"Named after Berwick on Tweed, England"
205407968,BEVERIDGE,BEVERIDGE,100375,27/09/2005,524579092,10/01/2017,520460019,Early European settler,Person,Scottish,Named after Andrew Beveridge
205409811,BIG PATS CREEK,,,,,,,Early European settler,Person,Irish,"Named for Patrick O'Hanningan, Irish goldminer"
205409616,BITTERN,BITTERN,100395,27/09/2005,468967405,24/10/2013,300943321,Animal,Nature,English,"Named after Australian bittern, a shorebird"
205410208,BLACK ROCK,BLACK ROCK,100399,27/09/2005,468966970,24/10/2013,300942716,Place in Ireland,Place outside Australia,Irish,"Named after Black Rock House, itself named after  Black Rock in Dublin, Ireland"
205410036,BLACKBURN,BLACKBURN,100400,27/09/2005,468966723,24/10/2013,300942905,Public figure,Person,Scottish,Possibly named after James Blackburn
205410246,BLACKBURN NORTH,BLACKBURN NORTH,100401,27/09/2005,521284809,27/10/2016,498226982,Public figure,Person,Scottish,Possibly named after James Blackburn
205410178,BLACKBURN SOUTH,BLACKBURN SOUTH,100402,27/09/2005,468966770,24/10/2013,300942677,Public figure,Person,Scottish,Possibly named after James Blackburn
205410020,BLAIRGOWRIE,BLAIRGOWRIE,100406,27/09/2005,468967450,24/10/2013,300942765,Place in the UK,Place outside Australia,Scottish,"Named after the burgh of Blairgowrie, Perth and Kinross, Scotland"
205410027,BLIND BIGHT,,,,,,,Terrain,Nature,English,Possibly named for its invisibility from Western Port Bay
205410241,BONBEACH,BONBEACH,100429,27/09/2005,468967071,24/10/2013,300942468,Unknown,Unknown,Unknown,
205409092,BONEO,,,,,,,Unknown,Unknown,Indigenous,"From local word, possibly ""Boniong"""
425652792,BONNIE BROOK,,,,,,,Unknown,Unknown,Scottish,New suburb created in 2017
205409801,BORONIA,BORONIA,100458,27/09/2005,468966778,24/10/2013,300945945,Plant,Nature,English,Named after the boronia plant
212811750,BOTANIC RIDGE,BOTANIC RIDGE,103704,14/04/2009,468967158,24/10/2013,304594572,Other local places,Other local places,English,Named after its proximity to the Royal Botanical Gardens at Cranbourne
205410187,BOX HILL,BOX HILL,100468,27/09/2005,468966733,24/10/2013,300942694,Place in the UK,Place outside Australia,English,"Named after Box Hill, Surrey, England"
205410156,BOX HILL NORTH,BOX HILL NORTH,100469,27/09/2005,499879652,31/07/2015,493106782,Place in the UK,Place outside Australia,English,"Named after Box Hill, Surrey, England"
205410191,BOX HILL SOUTH,BOX HILL SOUTH,100470,27/09/2005,468966766,24/10/2013,300942699,Place in the UK,Place outside Australia,English,"Named after Box Hill, Surrey, England"
205409938,BRAESIDE,BRAESIDE,100475,27/09/2005,513238135,27/05/2016,468967008,Other local places,Other local places,Scottish,"Named after horse stud, itself named after Braeside in Scotland"
205410123,BRAYBROOK,BRAYBROOK,100480,27/09/2005,468966641,24/10/2013,300942813,Place in the UK,Place outside Australia,English,"Named after Bray, England"
205410339,BRIAR HILL,BRIAR HILL,100489,27/09/2005,468966487,24/10/2013,300945812,Plant,Nature,English,Possibly named after vegetation on hill nearby
205409918,BRIGHTON,BRIGHTON,100496,27/09/2005,468966867,24/10/2013,300945144,Place in the UK,Place outside Australia,English,"Named for the town of Brighton, England"
205410043,BRIGHTON EAST,BRIGHTON EAST,100497,27/09/2005,468966906,24/10/2013,300942914,Place in the UK,Place outside Australia,English,"Named for the town of Brighton, England"
205409926,BROADMEADOWS,BROADMEADOWS,100508,27/09/2005,468966433,24/10/2013,308242041,Place in the UK,Place outside Australia,Scottish,Named for estate in Berwickshire
205409826,BROOKFIELD,BROOKFIELD,100513,27/09/2005,526449228,21/02/2017,523001724,Unknown,Unknown,English,"Marketing name by local property developer, no origin recorded"
205410052,BROOKLYN,BROOKLYN,100515,27/09/2005,468966711,24/10/2013,300942924,Local estate,Local estate,English,"Named after Brooklea Estate, became corrupted to Brooklyn"
205410088,BRUNSWICK,BRUNSWICK,100526,27/09/2005,532434175,26/05/2017,468966602,Public figure,Person,English,"Named after Captain George Brunswick, in charge of mounted police in Port Phillip Colony"
205410278,BRUNSWICK EAST,BRUNSWICK EAST,100527,27/09/2005,510995849,15/04/2016,468966607,Public figure,Person,English,"Named after Captain George Brunswick, in charge of mounted police in Port Phillip Colony"
205410211,BRUNSWICK WEST,BRUNSWICK WEST,100528,27/09/2005,540660550,20/10/2017,537821440,Public figure,Person,English,"Named after Captain George Brunswick, in charge of mounted police in Port Phillip Colony"
205409055,BULLA,BULLA,100548,27/09/2005,532885842,2/06/2017,532434169,Terrain,Nature,Indigenous,"Originally 'Bulla Bulla' meaning 'two' or 'good', shortened to 'Bulla'"
205410009,BULLEEN,BULLEEN,100555,27/09/2005,468966597,24/10/2013,300942873,Terrain,Nature,Indigenous,Named for local word for a billabong on the Yarra River
205409609,BUNDOORA,BUNDOORA,100568,27/09/2005,468966447,24/10/2013,314432032,Terrain,Nature,Indigenous,"Originally Springfield. 'Bundoora' thought to come form local word meaning ""the plain where kangaroos live"""
205409371,BUNYIP,BUNYIP,100584,27/09/2005,468967092,24/10/2013,300945730,Animal,Nature,Indigenous,"Named after Bunyip Bunyip (Buneep Buneep) Station, named for local mythical bunyip creature"
205409612,BUNYIP NORTH,BUNYIP NORTH,100585,27/09/2005,468967062,24/10/2013,310762866,Animal,Nature,Indigenous,"Named after Bunyip Bunyip (Buneep Buneep) Station, named for local mythical bunyip creature"
205410353,BURNLEY,BURNLEY,100591,27/09/2005,468966760,24/10/2013,300942416,Early European settler,Person,English,Named after William Bust Burnley
205410079,BURNSIDE,BURNSIDE,100592,27/09/2005,468966566,24/10/2013,315117468,Early European settler,Person,Scottish,Named for Burnside family
205745570,BURNSIDE HEIGHTS,BURNSIDE HEIGHTS,100593,15/11/2005,504821285,27/11/2015,468966539,Early European settler,Person,Scottish,Named for Burnside family
205410028,BURWOOD,BURWOOD,100601,27/09/2005,468966780,24/10/2013,310421751,Place in the UK,Place outside Australia,English,"Named for Burwood House, named after Burowod in England"
205410131,BURWOOD EAST,BURWOOD EAST,100602,27/09/2005,468966797,24/10/2013,300942825,Place in the UK,Place outside Australia,English,"Named for Burwood House, named after Burowod in England"
205410115,CAIRNLEA,CAIRNLEA,100620,27/09/2005,468966583,24/10/2013,300942803,Terrain,Nature,English,From 'cairn' and 'lea' (open grassland)
205410247,CALDER PARK,CALDER PARK,100621,27/09/2005,468966432,24/10/2013,300945935,Place in the UK,Place outside Australia,Scottish,Named after rivers in Scotland
205408876,CALDERMEADE,,,,,,,Place in the UK,Place outside Australia,Scottish,Named after rivers in Scotland
205407469,CAMBARVILLE,,,,,,,Early European settler,Person,English,"Portmanteau of Cameron, Barton and ville (A. Cameron and F. J. Barton established a mill)"
205409959,CAMBERWELL,CAMBERWELL,100632,27/09/2005,521284811,27/10/2016,494173804,Place in the UK,Place outside Australia,English,Named after London suburb of the same name
205409758,CAMPBELLFIELD,CAMPBELLFIELD,100634,27/09/2005,468966402,24/10/2013,300943120,Early European settler,Person,Scottish,Named after Charles and James David Lyon Campbell
205409940,CANNONS CREEK,,,,,,,Early European settler,Person,English,"Possibly named for the Cannon family, early European settlers in the area"
205410215,CANTERBURY,CANTERBURY,100649,27/09/2005,521284810,27/10/2016,494173803,Local politician or judge,Person,English,"Named after Viscount Canterbury, Governor of Victoria"
205409149,CAPE SCHANCK,CAPE SCHANCK,100655,27/09/2005,468967542,24/10/2013,300943932,Military figure,Person,English,Named after Captain John Schanck
205410061,CAPEL SOUND,CAPEL SOUND,102652,27/09/2005,518718002,13/09/2016,468967458,Military figure,Person,English,Named after Rear Admiral Sir Thomas Bladen Capel
205409286,CARDINIA,CARDINIA,100669,27/09/2005,468967136,24/10/2013,300943724,Terrain,Nature,Indigenous,"Derived from local word 'Kardinia', meaning 'looking towards the sun' or 'sunrise"
205410314,CARLTON,CARLTON,100679,27/09/2005,468966681,24/10/2013,300942630,Place in the UK,Place outside Australia,English,"Likely named for Carlton Gardens in London, England"
205410302,CARLTON NORTH,CARLTON NORTH,100681,27/09/2005,468966653,24/10/2013,300942603,Place in the UK,Place outside Australia,English,"Likely named for Carlton Gardens in London, England"
205410167,CARNEGIE,CARNEGIE,100683,27/09/2005,468966863,24/10/2013,300942661,Public figure,Person,Scottish,Named for Scottish-American millionaire Andrew Carnegie
205409955,CAROLINE SPRINGS,CAROLINE SPRINGS,100685,27/09/2005,526598523,23/02/2017,468966493,Public figure,Person,English,Named after Caroline Chisolm by property developer
205410325,CARRUM,CARRUM,100694,27/09/2005,503147057,16/10/2015,468967090,Terrain,Nature,Indigenous,"Derived from local words 'Karrum Karrum' meaning 'boomerang', used to describe the coastal ridges on Port Phillip Bay"
205409494,CARRUM DOWNS,CARRUM DOWNS,100695,27/09/2005,468967087,24/10/2013,300943386,Terrain,Nature,Indigenous,"Derived from local words 'Karrum Karrum' meaning 'boomerang', used to describe the coastal ridges on Port Phillip Bay"
205409520,CASTELLA,,,,,,,Early European settler,Person,French,Named for Paul Frédéric de Castella 
205409110,CATANI,,,,,,,Public figure,Person,Italian,"Named for Carlo Giorgio Domenico Enrico Catani, engineer with the Public Works Department"
205410332,CAULFIELD,CAULFIELD,100708,27/09/2005,468966860,24/10/2013,300942397,Early European settler,Person,Irish,"Unknown for certain, thought to be named after John Caulfield"
205410345,CAULFIELD EAST,CAULFIELD EAST,100709,27/09/2005,536811779,11/08/2017,468966857,Early European settler,Person,Irish,"Unknown for certain, thought to be named after John Caulfield"
205410138,CAULFIELD NORTH,CAULFIELD NORTH,100710,27/09/2005,536811778,11/08/2017,468966830,Early European settler,Person,Irish,"Unknown for certain, thought to be named after John Caulfield"
205410204,CAULFIELD SOUTH,CAULFIELD SOUTH,100711,27/09/2005,468966873,24/10/2013,300942713,Early European settler,Person,Irish,"Unknown for certain, thought to be named after John Caulfield"
205410219,CHADSTONE,CHADSTONE,100715,27/09/2005,468966851,24/10/2013,300942727,Place in the UK,Place outside Australia,English,"Probably named for Chadstone church in Malvern Hills, England"
205410249,CHELSEA,CHELSEA,100725,27/09/2005,468967058,24/10/2013,300942483,Place in the UK,Place outside Australia,English,"Named for District of Chelsea in London, England"
205410220,CHELSEA HEIGHTS,CHELSEA HEIGHTS,100726,27/09/2005,468967046,24/10/2013,300942728,Place in the UK,Place outside Australia,English,"Named for District of Chelsea in London, England"
205409831,CHELTENHAM,CHELTENHAM,100728,27/09/2005,526796378,24/02/2017,505158616,Place in the UK,Place outside Australia,English,"Named for Cheltenham, Gloucestershire, England"
205409445,CHIRNSIDE PARK,CHIRNSIDE PARK,100747,27/09/2005,468966519,24/10/2013,300945549,Public figure,Person,English,Named for George Chirside
205408716,CHRISTMAS HILLS,CHRISTMAS HILLS,100750,27/09/2005,468966345,24/10/2013,300944300,Public figure,Person,English,Named for shepherd called David Christmas
205409419,CHUM CREEK,,,,,,,Mining,Industry,English,"Possibly named for ""new chums"" (European immigrants) who arrived here following the discovery of gold, or after Paul de Castella"
205410172,CLARINDA,CLARINDA,100757,27/09/2005,468966933,24/10/2013,300942670,Place in North America,Place outside Australia,English,"Named for Clarinda in Iowa, USA"
205408164,CLARKEFIELD,CLARKEFIELD,100759,27/09/2005,468966170,24/10/2013,300945184,Early European settler,Person,English,Named for Sir William Clarke
205409950,CLAYTON,CLAYTON,100761,27/09/2005,492575733,16/01/2015,468966903,Early European settler,Person,English,Named for John Hughes Clayton
205409928,CLAYTON SOUTH,CLAYTON SOUTH,100762,27/09/2005,468966935,24/10/2013,300942970,Early European settler,Person,English,Named for John Hughes Clayton
205410306,CLEMATIS,CLEMATIS,100765,27/09/2005,468966931,24/10/2013,300942610,Plant,Nature,English,Named for the climbing plant of the same name
205410318,CLIFTON HILL,CLIFTON HILL,100767,27/09/2005,468966665,24/10/2013,300942381,Place in the UK,Place outside Australia,English,"Named for the suburb of Clifton Hill in Bristol, England"
205407535,CLONBINANE,,,,,,,Unknown,Unknown,Unknown,
205408906,CLYDE,CLYDE,100775,27/09/2005,468967148,24/10/2013,313474976,Place in the UK,Place outside Australia,Scottish,Named for the River Clyde in Scotland
205409219,CLYDE NORTH,CLYDE NORTH,100776,27/09/2005,524071197,23/12/2016,505672862,Place in the UK,Place outside Australia,Scottish,Named for the River Clyde in Scotland
425646095,COBBLEBANK,COBBLEBANK,123254,21/02/2017,529679396,12/04/2017,528119233,Other local places,Other local places,English,Possibly named for the dry stone wall preserved in the area
205409989,COBURG,COBURG,100791,27/09/2005,541122138,27/10/2017,527913244,British nobility,Person,English,"Named for the Duke of Edinburgh, who was also the Duke of Saxe-Coburg and Gotha"
205410093,COBURG NORTH,COBURG NORTH,100793,27/09/2005,468966531,24/10/2013,317906143,British nobility,Person,English,"Named for the Duke of Edinburgh, who was also the Duke of Saxe-Coburg and Gotha"
205409246,COCKATOO,COCKATOO,100796,27/09/2005,486366422,17/09/2014,468966868,Animal,Nature,Malay,Named for the cockatoos in a nearby creek
205408458,COCOROC,COCOROC,100797,27/09/2005,468966928,24/10/2013,300944592,Animal,Nature,Indigenous,"Named for the reported local word for ""croaking frog"""
205408352,COIMADAI,,,,,,,Animal,Nature,Indigenous,"Named for local word meaning ""resting male kangaroo"""
205408596,COLDSTREAM,COLDSTREAM,100809,27/09/2005,468966424,24/10/2013,300944345,Place in the UK,Place outside Australia,Scottish,"Named for Coldstream estate, named after place on English/Scottish border"
205410341,COLLINGWOOD,COLLINGWOOD,100812,27/09/2005,468966686,24/10/2013,300942404,Military figure,Person,English,Named for Admiral Collingwood
205410225,COOLAROO,COOLAROO,100822,27/09/2005,468966399,24/10/2013,300942733,Animal,Nature,Indigenous,"Named for the reported local word for ""brown snake"""
205409403,CORA LYNN,,,,,,,Terrain,Nature,Irish,From Gaelic 'coire' (kettle) and 'linn' (pool) named for scenic area in Tasmania. Formerly Koo Wee Rup Central.
205409563,COTTLES BRIDGE,,,,,,,Early European settler,Person,English,Named for Thomas Cottle
205409046,CRAIGIEBURN,CRAIGIEBURN,100864,27/09/2005,520894223,21/10/2016,468966273,Place in the UK,Place outside Australia,Scottish,"Named for Craigieburn, Scotland"
205409735,CRANBOURNE,CRANBOURNE,100865,27/09/2005,468967107,24/10/2013,304594571,Place in the UK,Place outside Australia,English,"Named for Cranbourne, Berkshire, England"
205409728,CRANBOURNE EAST,CRANBOURNE EAST,100866,27/09/2005,524071198,23/12/2016,468967112,Place in the UK,Place outside Australia,English,"Named for Cranbourne, Berkshire, England"
205409839,CRANBOURNE NORTH,CRANBOURNE NORTH,100867,27/09/2005,534795981,30/06/2017,524071196,Place in the UK,Place outside Australia,English,"Named for Cranbourne, Berkshire, England"
205409208,CRANBOURNE SOUTH,CRANBOURNE SOUTH,100868,27/09/2005,468967154,24/10/2013,300944427,Place in the UK,Place outside Australia,English,"Named for Cranbourne, Berkshire, England"
205409778,CRANBOURNE WEST,CRANBOURNE WEST,100869,27/09/2005,468967104,24/10/2013,300943150,Place in the UK,Place outside Australia,English,"Named for Cranbourne, Berkshire, England"
205410376,CREMORNE,CREMORNE,100874,27/09/2005,525072414,20/01/2017,468966759,Place in the UK,Place outside Australia,English,"Named for the Cremorne Gardens in Chelsea, London"
205410008,CRIB POINT,CRIB POINT,100881,27/09/2005,468967434,24/10/2013,300942872,Terrain,Nature,English,Named for the spit of land that forms the harbour
205409710,CROYDON,CROYDON,100891,27/09/2005,515417590,4/07/2016,512489573,Place in the UK,Place outside Australia,English,"Named for the town of Croydon, England"
205410270,CROYDON HILLS,CROYDON HILLS,100892,27/09/2005,468966626,24/10/2013,300942557,Place in the UK,Place outside Australia,English,"Named for the town of Croydon, England"
205410153,CROYDON NORTH,CROYDON NORTH,100893,27/09/2005,468966621,24/10/2013,300942638,Place in the UK,Place outside Australia,English,"Named for the town of Croydon, England"
205410255,CROYDON SOUTH,CROYDON SOUTH,100894,27/09/2005,468966726,24/10/2013,317639246,Place in the UK,Place outside Australia,English,"Named for the town of Croydon, England"
205410271,DALLAS,DALLAS,100915,27/09/2005,468966436,24/10/2013,308242040,Public figure,Person,English,"Named for Sir Dallas Brooks, Governor of Victoria"
205409587,DALMORE,,,,,,,Place in the UK,Place outside Australia,Scottish,"Named for Dalmore Estate, itself named for place in Scotland"
205409902,DANDENONG,DANDENONG,100920,27/09/2005,468966977,24/10/2013,300941959,Terrain,Nature,Indigenous,"Derived from local word 'Tanjenong' or similar variation, also known as Corranwarrabull"
205409868,DANDENONG NORTH,DANDENONG NORTH,100921,27/09/2005,468966946,24/10/2013,300945805,Terrain,Nature,Indigenous,"Derived from local word 'Tanjenong' or similar variation, also known as Corranwarrabull"
205409392,DANDENONG SOUTH,DANDENONG SOUTH,100922,27/09/2005,468967018,24/10/2013,300941956,Terrain,Nature,Indigenous,"Derived from local word 'Tanjenong' or similar variation, also known as Corranwarrabull"
425658406,DEANSIDE,DEANSIDE,123262,23/02/2017,529679397,12/04/2017,528119231,Local estate,Local estate,English,"Name taken from Deanside Woolshed, origin of its name here unknown"
214716891,DEEPDENE,DEEPDENE,103819,22/03/2010,468966718,24/10/2013,301906513,Place in the UK,Place outside Australia,English,Name taken from Deepdene estate in London
205409916,DEER PARK,DEER PARK,100944,27/09/2005,468966593,24/10/2013,300942957,Function of place,Function of place,English,From the former depot of deer from the Melbourne Hunt Club
205410183,DELAHEY,DELAHEY,100946,27/09/2005,504821283,27/11/2015,468966509,Early European settler,Person,English,Named for the Delahey family
205409746,DERRIMUT,DERRIMUT,100962,27/09/2005,532434176,26/05/2017,468966662,Public figure,Person,Indigenous,Named for a Port Phillip Aboriginal man - Darrimart or Derrimut
205409399,DEVON MEADOWS,DEVON MEADOWS,100967,27/09/2005,515612534,8/07/2016,468967176,Place in the UK,Place outside Australia,English,"Named for the local Devon Estate, itself named after Devon, England"
205409995,DEWHURST,,,,,,,Place in the UK,Place outside Australia,English,
205409582,DIAMOND CREEK,DIAMOND CREEK,100971,27/09/2005,537535781,25/08/2017,532885844,Terrain,Nature,English,Named after stones apparently visible in the creek that sparkled in the water
205408379,DIGGERS REST,DIGGERS REST,100974,27/09/2005,468966304,24/10/2013,300945898,Function of place,Function of place,English,Named as a rest spot for gold diggers on their way to the goldfields
205409949,DINGLEY VILLAGE,DINGLEY VILLAGE,100978,27/09/2005,468966965,24/10/2013,300942987,Place in the UK,Place outside Australia,English,"Named after Dingley Grange, itself named for Dingley Hall in the town of Melbourne in England"
205408805,DIXONS CREEK,,,,,,,Early European settler,Person,English,Named after John Dixon
205410229,DOCKLANDS,DOCKLANDS,100986,27/09/2005,522454531,24/11/2016,468966725,Function of place,Function of place,English,Named after former port and dock facilities
205409718,DON VALLEY,DON VALLEY,100989,27/09/2005,468966486,24/10/2013,300943259,Place in the UK,Place outside Australia,Scottish,"Named for the Don River, itself named for the Don River at Aberdeen in Scotland"
205409907,DONCASTER,DONCASTER,100991,27/09/2005,500606621,17/08/2015,499879651,Place in the UK,Place outside Australia,English,"Named for the city of Doncaster, England"
205409820,DONCASTER EAST,DONCASTER EAST,100992,27/09/2005,521284808,27/10/2016,512583099,Place in the UK,Place outside Australia,English,"Named for the city of Doncaster, England"
205409361,DONNYBROOK,DONNYBROOK,100993,27/09/2005,524579093,10/01/2017,520460022,Place in Ireland,Place outside Australia,Irish,"Named after parish of the same name in Dublin, Ireland"
205409786,DONVALE,DONVALE,100994,27/09/2005,518961002,16/09/2016,512583100,Portmanteau,Portmanteau,English,Combination of 'Doncaster' and 'Springvale' - the names of two major roads
